year,Y,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23
2011,1,5.35,5.35,0.69,3.23,0.17,0.23,0.20,1.17,1.44,1.94,26.83,1.00,0.73,1.37,0.73,0.88,23.58,25.94,5.06,6.91,0.05,0.06,0.37
2018,1,0.62,1.42,0.67,0.28,0.50,0.44,0.22,0.44,1.49,2.20,70.75,1.00,0.29,3.42,0.29,0.59,0.83,3.24,0.71,2.44,0.01,0.01,0.05
2017,1,3.31,4.29,0.73,2.83,0.69,2.34,0.72,1.05,1.36,1.58,59.70,1.00,0.40,2.48,0.40,1.30,2.50,16.66,12.04,29.88,0.12,0.39,0.23
2016,1,1.42,2.54,0.44,0.74,0.72,3.53,0.98,1.37,2.25,4.71,59.78,1.00,0.40,2.49,0.40,1.44,1.42,6.63,6.53,16.24,0.07,0.23,0.15
2015,1,0.34,1.93,0.36,0.15,0.80,5.39,1.07,1.34,2.77,16.84,67.53,1.00,0.32,3.08,0.32,1.64,0.78,8.43,9.02,27.78,0.09,0.45,0.23
2014,1,0.80,1.94,0.69,0.18,0.85,4.10,0.60,0.71,1.46,7.52,69.20,1.00,0.31,3.25,0.31,2.10,0.70,2.97,1.79,5.82,0.02,0.12,0.04
2013,1,1.72,2.76,0.16,0.31,0.87,26.51,3.40,3.90,6.12,34.23,71.83,1.00,0.28,3.55,0.28,2.20,0.89,3.95,13.44,47.71,0.13,1.05,0.24
2012,0,0.29,1.16,0.25,0.04,0.95,10.74,0.53,0.56,4.03,15.57,91.34,1.00,0.09,11.55,0.09,1.76,0.11,-2.62,-1.39,-16.03,-0.01,-0.28,-0.11
2011,0,1.49,2.61,0.84,0.46,0.86,4.61,0.63,0.73,1.18,4.16,66.10,1.00,0.34,2.95,0.34,2.48,1.02,-28.61,-18.02,-53.16,-0.18,-1.32,-0.34
2018,1,-0.22,0.12,-1.54,0.07,0.06,4.64,0.29,4.64,-0.65,8.13,51.62,1.00,0.48,2.07,0.48,7.64,0.94,12.76,3.75,7.75,0.04,0.59,-0.08
2017,1,-0.18,0.17,-1.19,0.04,0.09,3.97,0.37,3.97,-0.84,18.93,99.81,1.00,0.00,517.59,0.00,0.02,0.00,28.65,10.56,"5,467.35",0.11,1.14,-0.24
2016,0,-0.11,0.23,-1.99,0.29,0.15,1.70,0.25,1.70,-0.50,1.32,99.98,1.00,0.00,"5,445.46",0.00,0.00,0.00,-11.38,-2.82,"-15,349.69",-0.03,-0.19,0.06
2015,1,-0.15,0.21,-1.60,0.26,0.13,2.41,0.31,2.41,-0.63,1.89,62.05,1.00,0.38,2.63,0.38,2.96,0.61,21.12,6.52,17.17,0.07,0.51,-0.13
2014,1,0.05,0.43,-1.22,0.12,0.16,1.07,0.17,1.07,-0.82,4.01,37.48,0.57,0.34,2.90,0.20,1.21,0.53,33.27,5.80,29.39,0.10,0.36,-0.27
2013,1,0.28,0.54,-1.16,0.12,0.34,0.73,0.25,0.73,-0.86,3.45,99.71,1.00,0.00,349.69,0.00,0.01,0.00,35.72,8.81,"3,081.55",0.09,0.26,-0.31
2012,1,1.22,1.24,0.29,0.11,0.66,0.66,0.43,0.66,3.43,7.12,99.66,1.00,0.00,292.06,0.00,0.01,0.01,53.11,22.96,"6,706.35",0.23,0.35,1.82
2011,1,0.75,0.77,-0.71,0.09,0.53,0.41,0.22,0.41,-1.41,3.51,99.33,1.00,0.01,150.26,0.01,0.01,0.01,36.39,7.95,"1,194.84",0.08,0.15,-0.51
2018,0,0.27,0.38,-1.00,0.07,0.08,0.13,0.12,1.65,-1.00,8.45,51.88,1.00,0.48,2.08,0.48,0.52,2.41,-11.74,-1.46,-3.04,-0.01,-0.02,0.12
2017,0,0.18,0.34,-0.92,0.03,0.07,0.15,0.14,2.07,-1.09,24.10,53.50,1.00,0.46,2.15,0.46,0.50,2.34,-9.10,-1.29,-2.77,-0.01,-0.01,0.10
2016,0,0.11,0.26,-1.16,0.01,0.04,0.06,0.11,2.50,-0.86,98.87,52.84,1.00,0.47,2.12,0.47,0.25,2.77,-14.91,-1.62,-3.44,-0.02,-0.01,0.13
2015,0,0.15,0.29,-1.15,0.02,0.05,0.11,0.11,2.17,-0.87,34.62,54.35,1.00,0.46,2.19,0.46,0.48,2.62,-43.28,-4.67,-10.22,-0.05,-0.05,0.37
2014,0,0.28,0.38,-0.83,0.04,0.06,0.12,0.11,1.97,-1.20,19.78,55.75,1.00,0.44,2.26,0.44,0.47,3.00,-26.25,-2.89,-6.53,-0.03,-0.03,0.31
2013,0,0.41,0.56,-0.48,0.02,0.08,0.14,0.13,1.64,-2.07,41.56,56.67,1.00,0.43,2.31,0.43,0.47,3.07,-33.89,-4.38,-10.11,-0.04,-0.05,0.70
2012,0,1.05,1.06,0.04,0.01,0.09,21.36,0.14,1.53,28.11,198.98,59.83,1.00,0.40,2.49,0.40,61.67,4.67,-10.08,-1.40,-3.49,-0.01,-2.15,-2.83
2011,0,0.21,0.21,-2.00,0.00,0.07,0.15,0.14,1.89,-0.50,155.35,85.69,1.00,0.14,6.99,0.14,0.15,0.41,-6.89,-0.94,-6.59,-0.01,-0.01,0.03
2018,1,1.00,1.00,0.00,0.82,0.99,62.03,0.69,0.70,-361.62,0.85,75.86,1.00,0.24,4.14,0.24,21.69,0.24,22.84,15.77,65.33,0.16,14.17,-82.59
2017,1,1.15,1.15,0.01,0.00,0.42,9.72,5.64,13.45,105.54,#DIV/0!,9.50,1.00,0.90,1.10,0.90,1.56,2.47,17.18,96.89,107.07,0.97,1.67,18.13
2016,1,2.09,2.39,0.34,1.54,0.76,5.42,1.31,1.73,2.97,2.69,50.35,1.00,0.50,2.01,0.50,2.06,1.57,1.65,2.16,4.34,0.02,0.09,0.05
2015,1,1.50,1.97,0.66,1.02,0.68,1.60,0.51,0.74,1.51,1.42,49.95,1.00,0.50,2.00,0.50,1.58,1.44,1.05,0.53,1.06,0.01,0.02,0.02
2014,1,1.20,1.20,0.19,0.94,0.41,0.60,0.35,0.87,5.15,1.11,54.40,1.00,0.46,2.19,0.46,0.77,1.34,78.70,27.75,60.86,0.28,0.47,4.05
2013,1,0.47,0.47,-43.58,0.34,0.21,0.01,0.01,0.03,-0.02,0.04,95.64,1.00,0.04,22.92,0.04,0.06,0.10,"6,202.38",33.88,776.50,0.34,0.43,-1.42
2012,1,0.58,0.58,-1.39,0.38,0.14,0.09,0.07,0.52,-0.72,0.80,24.28,1.00,0.76,1.32,0.76,0.88,3.12,340.65,25.05,33.09,0.25,0.29,-2.45
2011,1,11.27,11.27,0.11,9.98,0.32,3.77,2.57,8.04,8.82,9.08,2.84,1.00,0.97,1.03,0.97,1.43,34.26,11.95,30.70,31.60,0.31,0.45,1.05
2018,1,0.86,1.02,0.03,0.68,0.70,1.78,0.53,0.76,34.02,1.15,99.69,1.00,0.00,321.24,0.00,0.01,0.00,7.87,4.19,"1,344.55",0.04,0.14,2.68
2017,0,0.67,0.82,-0.36,0.30,0.67,1.25,0.41,0.62,-2.78,1.66,99.68,1.00,0.00,310.06,0.00,0.01,0.00,-24.05,-9.95,"-3,084.22",-0.10,-0.30,0.67
2016,0,0.69,0.86,-0.17,0.48,0.60,1.40,0.56,0.94,-5.81,1.70,99.77,1.00,0.00,426.83,0.00,0.01,0.00,-5.22,-2.94,"-1,254.21",-0.03,-0.07,0.30
2015,0,0.53,0.70,-0.43,0.31,0.45,0.85,0.46,1.02,-2.34,2.30,99.75,1.00,0.00,398.70,0.00,0.00,0.00,-64.38,-29.70,"-11,843.20",-0.30,-0.54,1.51
2014,0,0.17,0.28,-2.12,0.01,0.28,0.46,0.34,1.21,-0.47,34.26,59.07,1.81,0.67,1.48,1.22,1.69,1.24,-146.35,-49.15,-40.15,-0.27,-0.68,0.69
2013,0,1.14,1.30,0.45,0.31,0.50,0.52,0.26,0.51,2.21,2.17,34.79,1.15,0.70,1.44,0.80,1.60,2.07,-70.31,-18.15,-22.72,-0.16,-0.36,-1.55
2012,0,2.71,3.01,1.19,0.94,0.51,0.59,0.29,0.56,0.84,1.81,21.05,0.95,0.78,1.28,0.74,1.52,4.39,-25.55,-7.33,-9.85,-0.08,-0.15,-0.22
2011,0,1.97,2.30,2.82,0.52,0.41,0.14,0.08,0.20,0.36,0.89,36.70,1.20,0.69,1.44,0.83,1.40,4.64,-159.49,-13.13,-15.85,-0.11,-0.22,-0.57
2018,0,1.12,1.12,1.18,0.02,0.80,0.38,0.07,0.09,0.85,6.63,71.85,1.00,0.28,3.55,0.28,1.44,0.39,-100.79,-7.38,-26.23,-0.07,-0.38,-0.85
2017,1,1.15,1.15,2.29,0.22,0.84,0.32,0.05,0.06,0.44,0.31,73.09,1.00,0.27,3.72,0.27,1.72,0.37,"3,789.42",186.97,694.77,1.87,11.97,16.57
2016,0,0.28,0.37,-4.36,0.03,0.87,2.56,0.34,0.39,-0.23,4.71,235.01,1.00,-1.35,-0.74,-1.35,-10.16,-0.57,-59.88,-20.35,15.07,-0.20,-1.53,0.14
2015,0,0.30,0.44,-5.69,0.00,0.85,1.23,0.19,0.22,-0.18,20.90,191.56,1.00,-0.92,-1.09,-0.92,-6.01,-0.48,-132.94,-24.97,27.27,-0.25,-1.64,0.23
2014,0,0.40,0.47,-2.43,0.03,0.82,2.11,0.38,0.46,-0.41,6.69,174.05,1.00,-0.74,-1.35,-0.74,-4.13,-0.43,-132.65,-50.15,67.73,-0.50,-2.80,0.55
2013,0,1.44,1.69,1.99,0.02,0.97,6.18,0.20,0.21,0.50,21.21,46.29,0.52,0.12,8.45,0.06,1.93,0.11,-57.72,-11.45,-184.39,-0.22,-3.57,-0.29
2012,1,0.87,1.02,0.03,0.01,0.97,20.67,0.66,0.69,32.82,70.93,95.23,1.00,0.05,20.99,0.05,1.48,0.05,21.26,14.10,295.98,0.14,4.39,6.98
2011,0,0.63,0.79,-0.29,0.04,0.91,9.00,0.83,0.92,-3.44,20.34,95.51,1.00,0.04,22.29,0.04,0.48,0.04,-9.71,-8.09,-180.36,-0.08,-0.87,0.33
2018,0,0.60,1.59,1.71,0.01,0.38,0.13,0.08,0.22,0.58,56.13,77.92,1.00,0.22,4.53,0.22,0.36,0.92,-29.31,-2.42,-10.96,-0.02,-0.04,-0.17
2017,0,0.52,1.66,1.24,0.05,0.36,0.18,0.12,0.32,0.81,11.61,82.61,1.00,0.17,5.75,0.17,0.27,0.80,-16.36,-1.90,-10.90,-0.02,-0.03,-0.13
2016,0,2.54,3.98,5.40,0.01,0.75,0.16,0.10,0.14,0.19,78.15,83.52,1.00,0.16,6.07,0.16,0.26,0.87,-12.80,-1.34,-8.12,-0.01,-0.02,-0.02
2015,0,0.92,2.64,0.97,0.00,0.41,0.43,0.26,0.64,1.03,"1,620.87",87.94,1.00,0.12,8.29,0.12,0.20,0.79,-2.56,-0.66,-5.49,-0.01,-0.01,-0.03
2014,1,1.61,3.97,0.73,0.19,0.36,0.59,0.37,1.03,1.37,21.53,88.72,1.00,0.11,8.86,0.11,0.18,1.23,0.84,0.32,2.79,0.00,0.00,0.01
2013,1,1.21,4.84,0.84,0.49,0.35,0.50,0.32,0.94,1.19,9.21,89.05,1.00,0.11,9.13,0.11,0.17,1.54,0.29,0.10,0.87,0.00,0.00,0.00
2012,1,0.44,4.98,0.74,0.01,0.34,0.55,0.37,1.08,1.35,821.67,91.02,1.00,0.09,11.13,0.09,0.14,1.32,0.76,0.28,3.10,0.00,0.00,0.01
2011,1,0.75,8.18,0.91,0.48,0.31,0.44,0.30,0.96,1.10,16.52,91.20,1.00,0.09,11.36,0.09,0.13,2.30,1.47,0.45,5.06,0.00,0.01,0.02
2018,1,1.14,1.14,0.14,0.02,0.84,4.81,0.75,0.89,7.32,46.73,74.07,1.00,0.26,3.86,0.26,1.66,0.35,6.23,4.69,18.07,0.05,0.30,0.46
2017,1,1.06,1.06,0.04,0.00,0.77,4.95,1.12,1.45,26.95,344.53,73.21,1.00,0.27,3.73,0.27,1.18,0.37,3.34,3.74,13.98,0.04,0.17,0.90
2016,1,0.99,1.05,0.27,0.01,0.98,9.10,0.17,0.17,3.65,17.02,93.46,1.00,0.07,15.30,0.07,3.49,0.07,7.30,1.24,19.02,0.01,0.66,0.27
2015,1,1.03,1.03,0.06,0.06,0.98,21.74,0.53,0.55,17.97,8.70,94.57,1.00,0.05,18.43,0.05,2.21,0.06,5.57,2.97,54.79,0.03,1.21,1.00
2014,1,0.97,1.05,0.07,0.08,1.00,#DIV/0!,0.69,0.69,13.88,8.84,95.05,1.00,0.05,20.22,0.05,#DIV/0!,0.05,5.17,3.55,71.74,0.04,#DIV/0!,0.72
2013,0,1.11,1.11,1.23,0.02,1.00,#DIV/0!,0.08,0.08,0.81,3.62,90.35,1.00,0.10,10.37,0.10,#DIV/0!,0.11,-21.31,-1.67,-17.28,-0.02,#DIV/0!,-0.17
2012,1,1.04,1.12,0.21,0.13,1.00,#DIV/0!,0.53,0.53,4.86,4.76,89.00,1.00,0.11,9.09,0.11,#DIV/0!,0.12,1.75,0.94,8.51,0.01,#DIV/0!,0.09
2011,0,3.32,3.32,2.98,0.00,1.00,#DIV/0!,0.23,0.23,0.34,#DIV/0!,30.10,1.00,0.70,1.43,0.70,#DIV/0!,2.32,-5.61,-1.32,-1.88,-0.01,#DIV/0!,-0.02
2018,1,0.82,1.34,0.51,0.17,0.84,2.64,0.42,0.50,1.98,3.92,93.97,1.00,0.06,16.58,0.06,0.38,0.10,14.07,5.94,98.51,0.06,0.37,0.28
2017,1,0.87,1.28,0.27,0.07,0.82,3.76,0.66,0.80,3.71,14.00,92.28,1.00,0.08,12.96,0.08,0.44,0.12,4.82,3.20,41.41,0.03,0.18,0.18
2016,1,0.50,1.33,0.51,0.06,0.83,2.46,0.41,0.49,1.97,10.42,92.31,1.00,0.08,13.00,0.08,0.46,0.12,19.90,8.16,106.03,0.08,0.49,0.39
2015,1,0.40,1.53,1.48,0.03,0.87,1.63,0.20,0.23,0.68,12.28,92.93,1.00,0.07,14.14,0.07,0.56,0.12,9.56,1.96,27.69,0.02,0.16,0.06
2014,1,0.64,1.69,1.56,0.01,0.89,2.09,0.23,0.26,0.64,42.76,96.03,1.00,0.04,25.19,0.04,0.36,0.08,22.83,5.33,134.15,0.05,0.48,0.15
2013,1,1.10,2.25,1.56,0.09,0.93,4.99,0.33,0.36,0.64,9.15,96.92,1.00,0.03,32.47,0.03,0.46,0.07,50.29,16.68,541.40,0.17,2.51,0.32
2012,1,1.57,2.83,1.08,0.12,0.95,11.32,0.57,0.60,0.93,14.00,93.27,1.00,0.07,14.86,0.07,1.33,0.20,45.82,26.16,388.90,0.26,5.19,0.43
2011,1,1.76,4.50,3.16,0.48,0.94,3.58,0.23,0.25,0.32,2.29,93.81,1.00,0.06,16.15,0.06,0.96,0.30,181.37,41.80,675.10,0.42,6.49,0.57
2018,1,0.65,1.63,0.73,0.08,0.71,1.27,0.37,0.53,1.37,10.25,99.34,1.00,0.01,152.29,0.01,0.02,0.02,11.32,4.24,645.28,0.04,0.14,0.16
2017,1,4.90,6.67,0.77,1.64,0.67,2.25,0.74,1.11,1.30,4.51,90.03,1.00,0.10,10.03,0.10,0.30,0.99,8.21,6.10,61.16,0.06,0.19,0.11
2016,1,2.76,3.78,0.68,1.01,0.73,2.99,0.80,1.08,1.48,4.06,89.13,1.00,0.11,9.20,0.11,0.41,0.56,7.13,5.67,52.17,0.06,0.21,0.11
2015,1,3.10,3.83,0.47,0.48,0.71,3.80,1.11,1.57,2.13,12.52,95.77,1.00,0.04,23.66,0.04,0.14,0.23,11.49,12.77,302.14,0.13,0.44,0.24
2014,1,7.46,9.27,0.61,3.39,0.73,4.01,1.07,1.47,1.64,4.01,94.37,1.00,0.06,17.76,0.06,0.21,0.71,5.21,5.60,99.41,0.06,0.21,0.09
2013,1,3.71,4.71,0.61,1.32,0.71,3.11,0.91,1.29,1.64,4.63,94.20,1.00,0.06,17.23,0.06,0.20,0.39,2.18,1.99,34.29,0.02,0.07,0.04
2012,1,2.39,3.13,0.67,0.21,0.69,2.29,0.71,1.02,1.50,15.53,88.29,1.00,0.12,8.54,0.12,0.38,0.53,2.35,1.66,14.16,0.02,0.05,0.04
2011,1,1.77,2.24,0.50,0.23,0.69,2.46,0.77,1.12,2.02,10.76,87.20,1.00,0.13,7.81,0.13,0.41,0.42,2.18,1.67,13.07,0.02,0.05,0.04
2018,0,0.22,0.50,-29.05,0.00,0.24,0.01,0.01,0.04,-0.03,4.69,73.28,1.00,0.27,3.74,0.27,0.35,0.55,-14.27,-0.12,-0.45,0.00,0.00,0.00
2017,0,0.21,0.50,-9.23,0.00,0.24,0.03,0.03,0.11,-0.11,14.61,73.49,1.00,0.27,3.77,0.27,0.35,0.54,-165.41,-4.36,-16.44,-0.04,-0.06,0.18
2016,0,0.26,0.54,-1.75,0.00,0.24,0.16,0.12,0.48,-0.57,64.71,73.78,1.00,0.26,3.81,0.26,0.35,0.58,-51.27,-6.04,-23.03,-0.06,-0.08,0.29
2015,0,0.30,0.62,"-3,145.55",0.00,0.25,0.00,0.00,0.00,0.00,0.03,74.85,1.00,0.25,3.98,0.25,0.34,0.61,"-161,986.63",-8.16,-32.44,-0.08,-0.11,0.51
2014,0,0.37,0.60,-0.77,0.01,0.21,0.23,0.18,0.87,-1.31,91.83,77.88,1.00,0.22,4.52,0.22,0.28,0.64,-37.39,-6.71,-30.31,-0.07,-0.08,0.49
2013,0,0.29,0.46,-1.18,0.00,0.21,0.27,0.21,1.01,-0.85,104.51,96.02,1.00,0.04,25.14,0.04,0.05,0.09,-38.39,-8.23,-207.00,-0.08,-0.10,0.33
